K	ACC	F1	NMI	AMI	ARI	Homogeneity	Completeness	Time
13.0	389.0	0.9828443022951031	0.9610657309641877	0.9600461995817463	0.9797104115807587	0.9760545745782893	0.9465302790557649	0.051821231842041016
12.0	375.0	0.9583963373437057	0.9435096150298193	0.9418116925897027	0.9672034970510724	0.9760545745782889	0.9130649427731311	0.050189971923828125
11.0	374.0	0.9562966162181592	0.9442823787853684	0.9425989332927951	0.9664140243765205	0.9778952177282143	0.9129034774455823	0.06109118461608887
7.0	376.0	0.9489018801904978	0.9282739272248167	0.9262050219900798	0.9539712385320709	0.9459363350457802	0.9112590101822364	0.036776065826416016
10.0	371.0	0.9344839420589544	0.9136393277263624	0.9113633604487701	0.938030835753334	0.9214412385613975	0.905968426332112	0.04882621765136719
15.0	376.0	0.9230266102453776	0.9128287523992041	0.9112527870054943	0.8894080617644052	0.8705346972375325	0.9594422939785797	0.056313276290893555
4.0	355.0	0.9220715164504741	0.8900907101304171	0.884408871474349	0.9423174450180789	0.9649091824277851	0.8260400649105961	0.03264927864074707
8.0	364.0	0.9199402153515593	0.9163548836149086	0.9137820328945531	0.9467720909699934	0.9449111972571622	0.8894739480201078	0.041689395904541016
9.0	363.0	0.9176884834779572	0.9110316439957467	0.9082940607582518	0.9436953879191886	0.9390113911892767	0.8846710765897855	0.10706090927124023
14.0	373.0	0.9154056568327119	0.8954258215788421	0.8935333689053087	0.8802511438598187	0.8533518802719013	0.9418637827908684	0.11475419998168945
5.0	355.0	0.9117910071782166	0.8979264011609697	0.8935992711213486	0.9456191538070126	0.9592007769910771	0.8440104585528558	0.033072471618652344
6.0	326.0	0.7970062518934701	0.8652912101955273	0.8612138381145249	0.8802383425060061	0.8505770794232818	0.8805233819809131	0.037482500076293945
3.0	142.0	0.4833863898240931	0.6077482091504046	0.5619401957592481	0.279607974199989	0.9263495309616516	0.45221646078261707	0.028628110885620117
2.0	53.0	0.1929813060110071	0.4682490911415803	0.35558017590575064	0.050835921985315516	0.8335520270057001	0.3255689730226556	0.030429363250732422
1.0	76.0	0.1613685688752713	0.3209103271631553	0.1260860030099369	-0.03349639213988094	0.4451077969438164	0.2509017518175191	0.09886479377746582
